learning_rate,weight_decay,dropout_rate,val_accuracy,train_accuracy,val_loss,train_loss,epoch,time_elapsed
0.01,0.0,0.0,0.36444444444444446,0.9894117647058823,7.52513538784451,0.03752626748527309,18,49.298336029052734
0.01,0.0001,0.0,0.3377777777777778,0.9301960784313725,7.816820848253038,0.38734677250424,15,41.658660650253296
0.01,0.001,0.0,0.26666666666666666,0.6184313725490196,6.873046967188517,2.0202904097239176,5,21.25433611869812
0.001,0.0,0.0,0.4022222222222222,0.9596078431372549,2.7968085426754423,0.3916762491768482,14,37.520793199539185
0.001,0.0001,0.0,0.3844444444444444,0.98,2.867073639763726,0.3119415605769438,16,40.87589406967163
0.001,0.001,0.0,0.38222222222222224,0.9482352941176471,2.774448034498427,0.5398804130741194,13,37.07228493690491
0.0001,0.0,0.0,0.3288888888888889,0.7545098039215686,3.295174535645379,2.251436709609686,24,56.22567558288574
0.0001,0.0001,0.0,0.3711111111111111,0.8533333333333333,2.9396695889366997,1.49623129938163,39,79.45389723777771
0.0001,0.001,0.0,0.35555555555555557,0.8478431372549019,2.9416729715135363,1.534588967959086,39,81.90723586082458
0.1,0.0,0.0,0.3488888888888889,0.9694117647058823,64.61805013020833,0.5070744018267592,17,40.949119329452515
0.1,0.0001,0.0,0.3511111111111111,0.9596078431372549,42.31123742719491,0.5303551836052138,18,45.65262198448181
0.1,0.001,0.0,0.15555555555555556,0.2541176470588235,66.56288892957899,43.11496068318685,6,23.75741744041443
0.01,0.0,0.2,0.3,0.6168627450980392,8.075205670032236,2.3868529293583887,7,26.019434452056885
0.01,0.0001,0.2,0.36444444444444446,0.8972549019607843,6.696315110524496,0.3663609579620043,18,47.396329402923584
0.01,0.001,0.2,0.3466666666666667,0.8815686274509803,4.858405376664466,0.41112638453642525,17,43.70072555541992
0.001,0.0,0.2,0.37555555555555553,0.8376470588235294,2.8123569266001383,0.8069803305233226,12,36.17601823806763
0.001,0.0001,0.2,0.3711111111111111,0.8415686274509804,2.8402568345599706,0.8440720985449996,11,32.85309457778931
0.001,0.001,0.2,0.3622222222222222,0.7337254901960784,2.8756176482306586,1.350455200438406,7,25.327741622924805
0.0001,0.0,0.2,0.31333333333333335,0.712156862745098,3.164382703039381,2.1230601391137816,31,68.21675753593445
0.0001,0.0001,0.2,0.35777777777777775,0.8007843137254902,2.920020309024387,1.5379192350424973,46,92.31928825378418
0.0001,0.001,0.2,0.34,0.7274509803921568,3.0929298718770344,2.0423841895309147,33,73.92161083221436
0.1,0.0,0.2,0.36,0.8984313725490196,65.80318355984159,2.830950148853052,27,60.668619871139526
0.1,0.0001,0.2,0.3377777777777778,0.8274509803921568,47.29220748477512,5.019891569232736,13,41.093851804733276
0.1,0.001,0.2,0.16444444444444445,0.2172549019607843,58.07129455566406,47.36000961004519,4,20.174885988235474
0.01,0.0,0.5,0.26222222222222225,0.30117647058823527,7.3287344943152535,6.396834447150137,4,18.93172860145569
0.01,0.0001,0.5,0.3622222222222222,0.5654901960784313,7.353757519192166,3.417236709033742,18,44.1838915348053
0.01,0.001,0.5,0.36,0.5345098039215687,5.219568364885118,2.889833533997629,17,41.18255805969238
0.001,0.0,0.5,0.37777777777777777,0.6219607843137255,2.8638930235968694,1.3801383145650228,18,44.46770405769348
0.001,0.0001,0.5,0.35333333333333333,0.5886274509803922,2.907665589650472,1.5453982076457902,14,36.919538736343384
0.001,0.001,0.5,0.36,0.5662745098039216,2.882709049648709,1.7397405192431281,12,33.37201285362244
0.0001,0.0,0.5,0.35333333333333333,0.5266666666666666,3.178114159901937,2.462535062864715,39,80.09305214881897
0.0001,0.0001,0.5,0.36,0.5741176470588235,3.0670049063364666,2.2160695010540534,47,86.29365348815918
0.0001,0.001,0.5,0.32,0.48901960784313725,3.311901535458035,2.667012071048512,34,69.81220722198486
0.1,0.0,0.5,0.35777777777777775,0.5529411764705882,66.40418902079264,32.40784453261132,22,70.04524493217468
0.1,0.0001,0.5,0.3488888888888889,0.5231372549019607,46.59432005140516,26.09088663886575,20,72.83082056045532
0.1,0.001,0.5,0.17333333333333334,0.1392156862745098,58.86185570610894,65.83350167966357,9,45.10932683944702
