model_arch,encoder,loss_type,data_augmentation,lr,weight_decay,train_loss,iou_score,dice_score
unet,resnet34,dice,True,0.01,0.0,0.26618759870529174,0.34006959199905396,0.3978302776813507
unet,resnet34,dice,True,0.01,0.001,0.26670706272125244,0.34006959199905396,0.3978302776813507
deeplabv3plus,resnet34,dice,True,0.01,0.0,0.24003610610961915,0.5924897789955139,0.7290959358215332
deeplabv3plus,resnet34,dice,True,0.01,0.001,0.25519452095031736,0.5215614438056946,0.6703700423240662
pspnet,resnet34,dice,True,0.01,0.0,0.2660675859451294,0.34006959199905396,0.3978302776813507
pspnet,resnet34,dice,True,0.01,0.001,0.26664469003677366,0.34006959199905396,0.3978302776813507
manet,resnet34,dice,True,0.01,0.0,0.24417487621307374,0.5840838551521301,0.7022569179534912
manet,resnet34,dice,True,0.01,0.001,0.2667902207374573,0.34006959199905396,0.3978302776813507
unet,resnet34,cross_entropy,True,0.01,0.0,0.5574611485004425,0.6092702746391296,0.742142915725708
unet,resnet34,cross_entropy,True,0.01,0.001,0.590874764919281,0.3425072729587555,0.4031476676464081
deeplabv3plus,resnet34,cross_entropy,True,0.01,0.0,0.567447817325592,0.5936882495880127,0.7304006814956665
deeplabv3plus,resnet34,cross_entropy,True,0.01,0.001,0.5831274461746215,0.5879923105239868,0.7256280779838562
pspnet,resnet34,cross_entropy,True,0.01,0.0,0.5853019738197327,0.6112947463989258,0.7383579015731812
pspnet,resnet34,cross_entropy,True,0.01,0.001,0.5937173533439636,0.570889949798584,0.7093453407287598
manet,resnet34,cross_entropy,True,0.01,0.0,0.5784606838226318,0.5059811472892761,0.6478016376495361
manet,resnet34,cross_entropy,True,0.01,0.001,0.5721462774276733,0.34006959199905396,0.3978302776813507
unet,resnet34,dice,True,0.001,0.0,0.1094687819480896,0.7462632060050964,0.8325058817863464
unet,resnet34,dice,True,0.001,0.001,0.14469749689102174,0.6058492064476013,0.6934234499931335
deeplabv3plus,resnet34,dice,True,0.001,0.0,0.1063055419921875,0.745414674282074,0.8277508616447449
deeplabv3plus,resnet34,dice,True,0.001,0.001,0.16895345687866212,0.6748382449150085,0.780834972858429
pspnet,resnet34,dice,True,0.001,0.0,0.0882858920097351,0.7880827188491821,0.8582130670547485
pspnet,resnet34,dice,True,0.001,0.001,0.13777024745941163,0.6323253512382507,0.7049427032470703
manet,resnet34,dice,True,0.001,0.0,0.12058855056762695,0.7309612035751343,0.8214571475982666
manet,resnet34,dice,True,0.001,0.001,0.14917216777801515,0.6058992147445679,0.7140546441078186
unet,resnet34,cross_entropy,True,0.001,0.0,0.254771466255188,0.8095827102661133,0.8746482133865356
unet,resnet34,cross_entropy,True,0.001,0.001,0.32194111227989197,0.78350830078125,0.8578189015388489
deeplabv3plus,resnet34,cross_entropy,True,0.001,0.0,0.32068956196308135,0.7578150033950806,0.843210756778717
deeplabv3plus,resnet34,cross_entropy,True,0.001,0.001,0.34721085071563723,0.7306211590766907,0.8288241624832153
pspnet,resnet34,cross_entropy,True,0.001,0.0,0.2481188803911209,0.7626035213470459,0.8388276100158691
pspnet,resnet34,cross_entropy,True,0.001,0.001,0.23696610152721406,0.7937923669815063,0.8655205368995667
manet,resnet34,cross_entropy,True,0.001,0.0,0.27289824426174164,0.7495810985565186,0.8291298151016235
manet,resnet34,cross_entropy,True,0.001,0.001,0.2988549786806107,0.7225215435028076,0.81084805727005
unet,resnet34,dice,True,0.0001,0.0,0.06852924108505248,0.850388765335083,0.9051318168640137
unet,resnet34,dice,True,0.0001,0.001,0.07219527006149291,0.8435544967651367,0.901044487953186
deeplabv3plus,resnet34,dice,True,0.0001,0.0,0.0697213077545166,0.8446295261383057,0.8980309963226318
deeplabv3plus,resnet34,dice,True,0.0001,0.001,0.07837149143218994,0.8347582817077637,0.8924780488014221
pspnet,resnet34,dice,True,0.0001,0.0,0.08341556549072265,0.8011561632156372,0.8692205548286438
pspnet,resnet34,dice,True,0.0001,0.001,0.08554265260696411,0.8014674782752991,0.8659859299659729
manet,resnet34,dice,True,0.0001,0.0,0.07805735349655152,0.8517842292785645,0.9023536443710327
manet,resnet34,dice,True,0.0001,0.001,0.08009741067886353,0.831678032875061,0.89304518699646
unet,resnet34,cross_entropy,True,0.0001,0.0,0.15071321189403533,0.8518520593643188,0.9060667157173157
unet,resnet34,cross_entropy,True,0.0001,0.001,0.15500116229057312,0.8507449626922607,0.9067435264587402
deeplabv3plus,resnet34,cross_entropy,True,0.0001,0.0,0.16559011578559876,0.836951732635498,0.8960530161857605
deeplabv3plus,resnet34,cross_entropy,True,0.0001,0.001,0.1611500573158264,0.8514933586120605,0.9030769467353821
pspnet,resnet34,cross_entropy,True,0.0001,0.0,0.21330124378204346,0.8091117739677429,0.8766239881515503
pspnet,resnet34,cross_entropy,True,0.0001,0.001,0.21279817163944245,0.804145336151123,0.8684869408607483
manet,resnet34,cross_entropy,True,0.0001,0.0,0.1594653993844986,0.8483803868293762,0.9038885235786438
manet,resnet34,cross_entropy,True,0.0001,0.001,0.17371366858482362,0.8447093963623047,0.9002524018287659
unet,efficientnet-b0,dice,True,0.01,0.0,0.11379231691360474,0.7241367101669312,0.8204398155212402
unet,efficientnet-b0,dice,True,0.01,0.001,0.20285574197769166,0.36314254999160767,0.44061148166656494
deeplabv3plus,efficientnet-b0,dice,True,0.01,0.0,0.14065751075744629,0.61228346824646,0.7038125395774841
deeplabv3plus,efficientnet-b0,dice,True,0.01,0.001,0.23646671056747437,0.45124009251594543,0.5919410586357117
